IssueID;Title;SeriesNumber;Description;PublicationDate;Publisher
95;The Amazing Spider-Man & Silk: The Spider(Fly) Effect (2016) ;3;Spidey and Silk's time jaunt takes them all the way to their beginning...the science fair where they were bitten by the radioactive spider! Plus: Chronosaurus Rex revealed!;2016-02-04T17:40:06+02:00;Marvel
96;The Astonishing Ant-Man (2015) ;7;"""Small Time Criminal""ù STARTS NOW! When The Power Broker hits Ant-Man where he's most vulnerable, he'll respond the only way he knows how: That's right. By breaking the law. Lots of laws, actually. The secret of how Scott landed back in jail is revealed here. (Because that's what happens when you break a bunch of laws, genius.)";2016-01-13T22:47:45+02:00;Marvel
97;The Unbeatable Squirrel Girl (2015) ;6;"PART ONE OF ""ANIMAL HOUSE,""ù A CROSSOVER WITH HOWARD THE DUCK! Squirrel Girl and Howard will team up against an enemy that neither Squirrel Girl (who has defeated Galactus) or Howard the Duck (who has defeated... uh... well, listen, I'm sure he's got other qualities) could take down on their own! Will they fight over a trivial misunderstanding? Will they band together against a common enemy? Will Squirrel Girl say ""duck!""ù to mean ""lower your head""ù but Howard will misinterpret it as a call for his attention, leading him to get hit on the head by something? At least ONE of those three questions will be answered with a ""yes""ù in this issue! CONCLUDED NEXT MONTH IN HOWARD THE DUCK #6!";2016-01-19T16:05:31+02:00;Marvel
98;The Unbeatable Squirrel Girl (2015) ;6 (Henderson Variant);;2016-01-15T21:22:34+02:00;Marvel
99;The Unbeatable Squirrel Girl (2015) ;6 (Moor Connecting Variant a);;2016-01-15T21:22:35+02:00;Marvel
100;The Unbeatable Squirrel Girl (2015) ;6 (Shirahama Wop Variant);;2016-01-15T21:22:35+02:00;Marvel
101;Ultimate Spider-Man Ultimate Collection (Trade Paperback);1;;2016-01-15T21:22:32+02:00;Marvel
102;Ultimates (2015) ;6;Once he was the Devourer of Worlds -- but now, at long last, his endless hunger has been cured. But is there a hidden price? What does it mean to wring new life from death? What does it mean to be...Galactus? Special guest artist Christian Ward (ODY-C) takes us into the life of the Lifebringer -- for the most cosmic issue yet!;2016-01-21T17:23:40+02:00;Marvel
103;Uncanny Avengers (2015) ;8;A STANDOFF tie-in! It only took 8 issues, but the Uncanny Avengers have lost their minds. To escape a trap, one Avenger is willing to make the ultimate sacrifice. The Wrecker returns! AND SO DOES...?;2016-01-14T19:34:45+02:00;Marvel
104;Uncanny Inhumans (Trade Paperback);1;;2016-01-19T16:05:37+02:00;Marvel
105;Uncanny X-Men (2016) ;6;"""APOCALYPSE WARS""ù CONTINUES! The first time original X-Man Archangel met Apocalypse, he was transformed into the homicidal Horseman of Death. Breaking free of Apocalypse's grasp, Archangel eventually returned to the X-Men and formed a relationship with his teammate, Psylocke. Now, years later, Psylocke has found a vacant, drone-like Archangel in the guise of Death once more. Fearing he's again fallen under Apocalypse's sway, Psylocke and her team of X-Men embark on a mission to save Archangel's life. But little do they know that they are about to discover a far more horrifying truth than they could have imagined! ";2016-01-13T23:42:39+02:00;Marvel
106;Venom: Space Knight (2015) ;6;"CAN A SYMBIOTE TRULY CHANGE ITS INKY BLACKNESS?
Flash and Pik Rollo cleverly penetrated Mercurio's defenses! by getting captured and thrown in his dungeon. Can Mercurio corrupt the symbiote to serve as his suit and partner in atrocities? Is this the return of the big bad Venom?";2016-01-21T17:35:03+02:00;Marvel
107;Vision (2015) ;6;The book everyone is talking about. The first arc of this acclaimed series comes to its frightening climax. The bodies will not stay buried. The truth will not remain hidden. And The Vision will never be the same.;2016-01-14T19:40:13+02:00;Marvel
108;Web Warriors (2015) ;6;With the threat of the ELECTROVERSE sated (for now), what's an average day in the life of an interdimensional Spider-Man or Spider-Woman really like? Could it involve!  MURDER?!;2016-01-14T23:10:55+02:00;Marvel
109;Weirdworld (2015) ;5;Morgan Le Fay's Lava Men forces clashes with Jennifer Kale's Man-Thing army! Becca, Goleta and Catbeast must get through the battle, with the help of the DOG FIGHTERS!;2016-01-14T23:16:11+02:00;Marvel
110;X-Men '92 (2016) ;1 (Christopher Action Figure Variant);;2016-01-15T21:22:35+02:00;Marvel
111;X-Men '92 (2016) ;1 (Richardson Hip-Hop Variant);;2016-01-15T21:22:33+02:00;Marvel
112;X-Men '92 (2016) ;1 (Tbd Artist Variant);;2016-01-15T21:22:35+02:00;Marvel
113;X-Men '92 (2016) ;2;PONDER: The machinations of the Fenris Twins! FEAR: The terror of Alpha Red! RELISH: The X-Men of the '90s, back in action!;2016-01-14T23:25:40+02:00;Marvel
114;X-Men: Worst X-Man Ever (2016) ;3;Bailey struggles to fit in among his hated and fear compatriates. PLUS: Meet possibly the most powerful X-Man ever...Miranda? Max Bemis's Mutant Masterpiece continues here!;2016-01-20T22:39:05+02:00;Marvel
